Total,County,Population,White,Black,AIAN,Asian,NHOPI,Other,White_pct,Black_pct,AIAN_pct,Asian_pct,NHOPI_pct,Other_pct
1,COCHRAN,2547,1872,94,52,16,2,978,0.734982332155477,0.0369061641146447,0.0204161758932077,0.00628190027483314,0.000785237534354142,0.383981154299176
2,COKE,3285,3059,23,117,17,13,426,0.931202435312024,0.00700152207001522,0.0356164383561644,0.00517503805175038,0.00395738203957382,0.129680365296804
2,COLEMAN,7684,7079,236,258,58,11,616,0.921264966163457,0.0307131702238417,0.0335762623633524,0.0075481520041645,0.00143154606975534,0.0801665799062988
509,COLLIN,1064465,690328,126186,27203,206884,2409,136339,0.64852108805832,0.11854405734336,0.0255555607746615,0.194354910682831,0.00226310869779655,0.128082182129051
2,COLLINGSWORTH,2652,2195,148,86,32,21,495,0.827677224736048,0.0558069381598793,0.0324283559577677,0.0120663650075415,0.00791855203619909,0.186651583710407
27,COLORADO,20557,15392,2535,363,132,19,4479,0.74874738531887,0.123315658899645,0.0176582186116651,0.00642117040424186,0.000924259376368147,0.217881986671207
74,COMAL,161501,143755,5409,4817,3517,439,30740,0.890118327440697,0.0334920526807884,0.0298264407031535,0.0217769549414555,0.00271824942260419,0.190339378703537
3,COMANCHE,13594,11943,127,445,62,15,2740,0.87854936001177,0.00934235692217155,0.0327350301603649,0.00456083566279241,0.00110342798293365,0.201559511549213
0,CONCHO,3303,2813,105,68,47,11,607,0.851650015137754,0.0317892824704814,0.020587344838026,0.0142294883439298,0.00333030578262186,0.183772328186497
22,COOKE,41668,36254,1687,1731,446,52,6356,0.87006815781895,0.0404867044254584,0.0415426706345397,0.0107036574829605,0.00124796006527791,0.1525391187482
59,CORYELL,83093,59658,15290,2728,3238,1539,11660,0.717966615719736,0.184010686820791,0.0328306836917671,0.0389683848218261,0.0185214157630607,0.140324696424488
0,COTTLE,1380,1132,128,39,18,13,202,0.820289855072464,0.0927536231884058,0.0282608695652174,0.0130434782608696,0.00942028985507246,0.146376811594203
3,CRANE,4675,3608,102,100,39,12,1981,0.771764705882353,0.0218181818181818,0.0213903743315508,0.00834224598930481,0.0025668449197861,0.423743315508021
1,CROCKETT,3098,2572,36,80,23,8,1109,0.830213040671401,0.0116204002582311,0.025823111684958,0.00742414460942544,0.0025823111684958,0.357972885732731
5,CROSBY,5133,4019,203,111,41,14,1601,0.782972920319501,0.0395480225988701,0.021624780829924,0.00798753165789986,0.00272744983440483,0.311903370348724
0,CULBERSON,2188,1591,48,56,50,6,1055,0.727148080438757,0.0219378427787934,0.0255941499085923,0.0228519195612431,0.00274223034734918,0.48217550274223
3,DALLAM,7115,5538,142,225,33,11,2880,0.778355586788475,0.0199578355586788,0.0316233309908644,0.00463808854532677,0.00154602951510892,0.404778636683064
3185,DALLAS,2613539,1320086,611735,75211,203085,4398,835929,0.505095198502873,0.234063849822023,0.0287774546314404,0.0777049816360116,0.00168277573053243,0.319845619292461
14,DAWSON,12456,9544,1004,240,86,17,3618,0.766217084136159,0.0806037251123956,0.0192678227360308,0.00690430314707771,0.00136480411046885,0.290462427745665
13,DEAF SMITH,18583,13564,290,414,78,23,8868,0.729914437927138,0.0156056610880913,0.0222784265188613,0.00419738470645213,0.00123769036215896,0.477210353548943
2,DELTA,5230,4663,402,219,63,23,281,0.891586998087954,0.0768642447418738,0.0418738049713193,0.0120458891013384,0.00439770554493308,0.0537284894837476
462,DENTON,906422,636299,113638,27816,106260,2288,142663,0.701989801659713,0.125369860837447,0.0306876929289007,0.1172301643164,0.00252421057741317,0.157391369582821
9,DEWITT,19824,15380,1867,424,105,22,4264,0.775827280064568,0.0941787732041969,0.0213882163034705,0.00529661016949153,0.00110976594027441,0.215092816787732
1,DICKENS,1770,1551,64,56,21,15,313,0.876271186440678,0.0361581920903955,0.031638418079096,0.011864406779661,0.00847457627118644,0.17683615819209
9,DIMMIT,8615,6831,129,125,94,23,4464,0.792919326755659,0.0149738827626233,0.0145095763203714,0.0109112013929193,0.00266976204294835,0.518165989553105
